Old,Current
Albertiniella polyporicola,Cephalotheca polyporicola
Apiospora montagnei,Arthrinium arundinis
Ashbya gossypii,Eremothecium gossypii
Belonopsis asteroma,Mollisia asteroma
Belonopsis guestphalicum cf.,Niptera guestphalica
Belonopsis lacustris cf.,Niptera lacustris
Botryotinia calthae,Botrytis calthae
Botryotinia fuckeliana,Botrytis fuckeliana
Cochliobolus heterostrophus,Bipolaris maydis
Cochliobolus sativus,Bipolaris sorokiniana
Conchatium fraxinophilum,Cyathicula fraxinophila
Coprobia granulata,Cheilymenia granulata
Dasyscyphus aconiti,Cistella aconiti
Dasyscyphus mughonicola,Dasyscyphella mughonicola
Dasyscyphus pudibundus,Lachnum pudibundum
Davidiella populorum,Sphaerulina musiva
Dibeloniella citrinella,Niptera citrinella
Discocistella grevillei,Cistella grevillei
Elaphocordyceps ophioglossoides,Tolypocladium ophioglossoides
Emericella nidulans,Aspergillus nidulans
Gibberella moniliformis,Fusarium fujikuroi
Gibberella zeae,Fusarium graminearum
Gliocladium virens,Trichoderma virens
Glomerella graminicola,Colletotrichum graminicola
Holleya sinecauda,Eremothecium sinecaudum
Hyalinia dilutella cf.,Pyrenopeziza dilutella
Hypocrea citrina,Trichoderma citrinum
Hypocrea pallida,Trichoderma citrinum
Hypocrea pulvinata,Protocrea pallida
Incrupilella flexipila,Trichoderma pulvinatum
Kalaharituber pfeilii,Terfezia pfeilii
Magnaporthe grisea,Pyricularia grisea
Magnaporthe oryzae,Pyricularia oryzae
Marssonina brunnea,Drepanopeziza brunnea
Marssonina coronariae,Diplocarpon coronariae
Moellerodiscus tenuistipes,Ciboria tenuistipes
Mycosphaerella fijiensis,Pseudocercospora fijiensis
Mycosphaerella graminicola,Zymoseptoria tritici
Mycosphaerella pini,Dothistroma septosporum
Nimbomollisia eriophori,Mollisia eriophori
Nimbomollisia macrospora,Niptera bispora
Parorbiliopsis minuta,Hyaloscypha minuta
Penicillium i chrysogenum,Penicillium chrysogenum
Pezizella alniella,Calycina alniella
Pezizella pulchella ss. Svrèek,Antinoa pulchella
Phialina lachnobrachya,Calycellina lachnobrachya
Phialina separabilis,Calycellina separabilis
Phialina ulmariae,Calycellina ulmariae
Poculum firmum,Rutstroemia firma
Polychaeton citri,Capnodium citri
Potebniamyces pyri,Phacidiella discolor
Pseudomassariella vexata,Leiosphaerella vexata
Ptychoverpa bohemica,Verpa bohemica
Setosphaeria turcica,Exserohilum turcicum
Tapesia cinerella cf.,Tricharia cinerella
Tapesia fusca,Mollisia fusca
Tapesia lividofusca,Mollisia lividofusca
Tapesia rosae,Mollisia rosae
Thuemenidium atropurpureum,Geoglossum atropurpureum
Tothia fuscella,Microthyrium fuscellum
Tromeropsis microtheca cf.,Symbiotaphrina microtheca
Verruculina enalia,Didymosphaeria enalia
Zoellneria rosarum,Amerosporium patellarioides
